         ps       /tb/rst        /tb/x             
          delta     /tb/ena   /tb/detector         
                      /tb/clk                      
                       /tb/DetectionCode           
   10900000  +1         0 1 0 00011110 2 0 
   10950000  +1         0 1 1 00011110 2 0 
   11000000  +1         0 1 0 00100000 1 0 
   11050000  +1         0 1 1 00100000 1 0 
   11100000  +1         0 1 0 00100010 1 0 
   11150000  +1         0 1 1 00100010 1 0 
   11200000  +1         0 1 0 00100100 1 0 
   11250000  +1         0 1 1 00100100 1 0 
   11300000  +1         0 1 0 00100110 1 0 
   11350000  +1         0 1 1 00100110 1 0 
   11400000  +1         0 1 0 00101000 1 0 
   11450000  +1         0 1 1 00101000 1 0 
   11500000  +1         0 1 0 00101010 1 0 
   11550000  +1         0 1 1 00101010 1 0 
   11600000  +1         0 1 0 00101100 1 0 
   11650000  +2         0 1 1 00101100 1 1 
   11700000  +1         0 1 0 00101110 1 1 
   11750000  +1         0 1 1 00101110 1 1 
   11800000  +1         0 1 0 00110000 1 1 
   11850000  +1         0 1 1 00110000 1 1 
   11900000  +1         0 1 0 00110010 1 1 
   11950000  +1         0 1 1 00110010 1 1 
   12000000  +1         0 1 0 00110101 1 1 
   12050000  +1         0 1 1 00110101 1 1 
   12100000  +1         0 1 0 00111000 2 1 
   12150000  +1         0 1 1 00111000 2 1 
   12200000  +1         0 1 0 00111011 2 1 
   12250000  +1         0 1 1 00111011 2 1 
   12300000  +1         0 1 0 00111110 2 1 
   12350000  +1         0 1 1 00111110 2 1 
   12400000  +1         0 1 0 01000001 2 1 
   12450000  +1         0 1 1 01000001 2 1 
   12500000  +1         0 1 0 01000100 2 1 
   12550000  +1         0 1 1 01000100 2 1 
   12600000  +1         0 1 0 01000111 2 1 
   12650000  +1         0 1 1 01000111 2 1 
   12700000  +1         0 1 0 01111111 0 1 
   12750000  +2         0 1 1 01111111 0 0 
   12800000  +1         0 1 0 01111111 0 0 
   12850000  +1         0 1 1 01111111 0 0 
   12900000  +1         0 1 0 10000000 0 0 
   12950000  +1         0 1 1 10000000 0 0 
   13000000  +1         0 1 0 10000001 0 0 
   13050000  +1         0 1 1 10000001 0 0 
   13100000  +1         0 1 0 10000010 0 0 
   13150000  +1         0 1 1 10000010 0 0 
   13200000  +1         0 1 0 10000011 0 0 
   13250000  +1         0 1 1 10000011 0 0 
   13300000  +1         0 1 0 10000100 0 0 
   13350000  +1         0 1 1 10000100 0 0 
   13400000  +1         0 1 0 10000101 0 0 
   13450000  +1         0 1 1 10000101 0 0 
   13500000  +1         0 1 0 10000110 0 0 
   13550000  +1         0 1 1 10000110 0 0 
   13600000  +1         0 1 0 10000111 0 0 
   13650000  +1         0 1 1 10000111 0 0 
   13700000  +1         0 1 0 10001000 0 0 
   13750000  +2         0 1 1 10001000 0 1 
   13800000  +1         0 1 0 10001001 0 1 
   13850000  +1         0 1 1 10001001 0 1 
   13900000  +1         0 1 0 10001010 0 1 
   13950000  +1         0 1 1 10001010 0 1 
   14000000  +1         0 1 0 00000000 2 1 
   14050000  +2         0 1 1 00000000 2 0 
   14100000  +1         0 1 0 00000011 2 0 
   14150000  +1         0 1 1 00000011 2 0 
   14200000  +1         0 1 0 00000110 2 0 
   14250000  +1         0 1 1 00000110 2 0 
   14300000  +1         0 1 0 00001001 2 0 
   14350000  +1         0 1 1 00001001 2 0 
   14400000  +1         0 1 0 00001100 2 0 
   14450000  +1         0 1 1 00001100 2 0 
   14500000  +1         0 1 0 00001111 2 0 
   14550000  +1         0 1 1 00001111 2 0 
   14600000  +1         0 1 0 00010010 2 0 
   14650000  +1         0 1 1 00010010 2 0 
   14700000  +1         0 1 0 00010101 2 0 
   14750000  +1         0 1 1 00010101 2 0 
   14800000  +1         0 1 0 00011000 2 0 
   14850000  +2         0 1 1 00011000 2 1 
   14900000  +1         0 1 0 00011011 2 1 
   14950000  +1         0 1 1 00011011 2 1 
   15000000  +1         0 1 0 00011110 2 1 
   15050000  +1         0 1 1 00011110 2 1 
   15100000  +1         0 1 0 00100001 2 1 
   15150000  +1         0 1 1 00100001 2 1 
   15200000  +1         0 1 0 00100100 2 1 
   15250000  +1         0 1 1 00100100 2 1 
   15300000  +1         0 1 0 00100001 2 1 
   15350000  +1         0 1 1 00100001 2 1 
   15400000  +1         0 1 0 00011110 2 1 
   15450000  +2         0 1 1 00011110 2 0 
